"Symfony Parte 1: Criação de uma API Restful",sim
"Symfony Parte 2: Autenticação e HATEOAS",sim
"PHP Doctrine: Introdução ao Mapeamento Objeto-Relacional",sim
"Laravel parte 1: Produtividade no desenvolvimento web",sim
"Laravel parte 2: Trabalhando com Autenticação, Relacionamentos e Testes",sim
"Lumen: API Rest com o Micro-framework do Laravel",sim
"Introdução ao PHP: Primeiros passos com a linguagem",sim
"Avançando com PHP: Arrays, Strings, Função e Web",sim
"MVC com PHP: Entenda o padrão Model-View-Controller",sim
"PHP Composer: Dependências, Autoload e Publicação",sim
"PHP e TDD : Testes com PHPUnit",sim
Design Patterns PHP I: Boas práticas de programação,nãoDesign Patterns PHP II: Boas práticas de programação,nãoPersistencia com PHP,não,nãoArquitetura com PHP,não,nãoDesigin Patterns,nãoDesigin Patterns,não